 ;Area;Circ.;Feret;FeretX;FeretY;FeretAngle;MinFeret;AR;Round;Solidity;;Pole powierzchni obszaru pom. [mm2];Powierzchnia porów;Porowatość [%];Średnia powierzchnia wady [mm2];odch. Stand. Średniej pow. Wady [mm2];Największa wada [mm2];Maks. Średnica fereta [mm];Średnia śr. Fereta [mm];Odch. Stand. Średniej średnicy Fereta [mm];Średnie podobieństwo do okręgu
148;0.002;0.699;0.07;1.289;2.118;153.435;0.043;sty.41;0.709;0.875;;;;;;;;;;;
149;0.003;0.792;0.074;1.682;02.lut;168.69;0.054;1.349;0.741;0.905;;;;;;;;;;;
150;0.00001161;1;0.005;0.549;lut.19;116.565;0.002;2;0.5;1;;;;;;;;;;;
151;0.00005226;0.923;0.013;8.227;02.lut;158.199;0.005;2.386;0.419;0.947;;;;;;;;;;;
152;0.00004064;0.8;0.011;6.345;lut.21;116.565;0.006;1.895;0.528;0.737;;;;;;;;;;;
153;0.00008129;1;0.014;6.612;2.229;59.036;0.007;1.662;0.602;0.966;;;;;;;;;;;
154;0.00001742;1;0.007;1.672;2.219;135;0.005;1.464;0.683;0.857;;;;;;;;;;;
155;0.001;0.66;0.054;8.099;2.248;147.724;0.039;1.512;0.661;0.799;;;;;;;;;;;
156;0.0001452;0.954;0.018;3.325;2.258;23.199;0.012;1.506;0.664;0.862;;;;;;;;;;;
157;0.00001161;1;0.005;1.619;2.253;153.435;0.002;2;0.5;1;;;;;;;;;;;
158;0.00001742;1;0.007;1.612;lut.26;45;0.005;1.464;0.683;0.857;;;;;;;;;;;
159;0.00004645;0.567;0.015;1.598;lut.27;38.66;0.006;3.518;0.284;0.667;;;;;;;;;;;
160;0.00001742;1;0.007;sty.59;2.275;45;0.005;1.464;0.683;0.857;;;;;;;;;;;
161;0.0002381;0.774;0.025;9.699;2.284;lis.31;0.015;1.645;0.608;0.812;;;;;;;;;;;
162;0.00002323;1;0.007;8.513;2.296;135;0.005;1;1;1;;;;;;;;;;;
163;0.0001394;1;0.017;kwi.21;2.313;135;0.012;1.236;0.809;0.906;;;;;;;;;;;
164;0.0001219;1;0.016;9.434;lut.32;116.565;0.012;1.355;0.738;0.857;;;;;;;;;;;
165;0.00008129;0.993;0.013;9.333;2.328;111.801;0.01;1.264;0.791;0.848;;;;;;;;;;;
166;0.00004064;0.564;0.014;4.463;2.381;149.036;0.006;2.494;0.401;0.7;;;;;;;;;;;
167;0.00003484;1;0.009;5.311;2.427;146.31;0.005;01.maj;0.667;1;;;;;;;;;;;
168;0.0001858;0.616;0.027;7.036;2.448;52.125;0.013;2.471;0.405;0.762;;;;;;;;;;;
169;0.00001161;1;0.005;7.022;2.429;153.435;0.002;2;0.5;1;;;;;;;;;;;
170;0.0004064;0.826;0.031;3.169;2.455;32.471;0.019;1.823;0.548;0.875;;;;;;;;;;;
171;0.00001742;1;0.007;5.855;lut.47;45;0.005;1.464;0.683;0.857;;;;;;;;;;;
172;0.0001161;0.635;0.022;8.872;2.499;167.471;0.007;3.058;0.327;0.87;;;;;;;;;;;
173;0.00002323;1;0.007;wrz.79;2.496;135;0.005;1;1;1;;;;;;;;;;;
174;0.00003484;1;0.009;5.364;2.523;146.31;0.005;01.maj;0.667;1;;;;;;;;;;;
175;0.0003716;0.619;0.036;5.573;2.561;151.699;0.016;2.298;0.435;0.805;;;;;;;;;;;
176;0.0001219;0.943;0.015;6.448;2.581;38.66;0.012;1.284;0.779;0.84;;;;;;;;;;;
